"id","order","score","weight","color","label"
"0",0,143,1,"blue","MANHATTAN 101"
"1",1,79,1,"blue","MANHATTAN 102"
"2",2,1343,1,"blue","MANHATTAN 103"
"3",3,1675,1,"blue","MANHATTAN 104"
"4",4,635,1,"blue","MANHATTAN 105"
"5",5,1143,1,"blue","MANHATTAN 106"
"6",6,630,1,"blue","MANHATTAN 107"
"7",7,169,1,"blue","MANHATTAN 108"
"8",8,950,1,"blue","MANHATTAN 109"
"9",9,1933,1,"blue","MANHATTAN 110"
"10",10,1963,1,"blue","MANHATTAN 111"
"11",11,201,1,"blue","MANHATTAN 112"
"12",12,3061,1,"purple","BRONX 201"
"13",13,1012,1,"purple","BRONX 202"
"14",14,2706,1,"purple","BRONX 203"
"15",15,1806,1,"purple","BRONX 204"
"16",16,2054,1,"purple","BRONX 205"
"17",17,2035,1,"purple","BRONX 206"
"18",18,951,1,"purple","BRONX 207"
"19",19,129,1,"purple","BRONX 208"
"20",20,1450,1,"purple","BRONX 209"
"21",21,8,1,"purple","BRONX 210"
"22",22,12,1,"purple","BRONX 211"
"23",23,242,1,"purple","BRONX 212"
"24",24,1403,1,"red","BROOKLYN 301"
"25",25,1876,1,"red","BROOKLYN 302"
"26",26,1464,1,"red","BROOKLYN 303"
"27",27,457,1,"red","BROOKLYN 304"
"28",28,4355,1,"red","BROOKLYN 305"
"29",29,332,1,"red","BROOKLYN 306"
"30",30,68,1,"red","BROOKLYN 307"
"31",31,1008,1,"red","BROOKLYN 308"
"32",32,459,1,"red","BROOKLYN 309"
"33",33,0,1,"red","BROOKLYN 310"
"34",34,0,1,"red","BROOKLYN 311"
"35",35,181,1,"red","BROOKLYN 312"
"36",36,1429,1,"red","BROOKLYN 313"
"37",37,31,1,"red","BROOKLYN 314"
"38",38,73,1,"red","BROOKLYN 315"
"39",39,2504,1,"red","BROOKLYN 316"
"40",40,467,1,"red","BROOKLYN 317"
"41",41,28,1,"red","BROOKLYN 318"
"42",42,179,1,"orange","QUEENS 401"
"43",43,852,1,"orange","QUEENS 402"
"44",44,16,1,"orange","QUEENS 403"
"45",45,6,1,"orange","QUEENS 404"
"46",46,0,1,"orange","QUEENS 405"
"47",47,0,1,"orange","QUEENS 406"
"48",48,107,1,"orange","QUEENS 407"
"49",49,0,1,"orange","QUEENS 408"
"50",50,1,1,"orange","QUEENS 409"
"51",51,8,1,"orange","QUEENS 410"
"52",52,0,1,"orange","QUEENS 411"
"53",53,849,1,"orange","QUEENS 412"
"54",54,19,1,"orange","QUEENS 413"
"55",55,2226,1,"orange","QUEENS 414"
"56",56,645,1,"green","StatenIsland 501"
"57",57,177,1,"green","StatenIsland 502"
"58",58,0,1,"green","StatenIsland 503"
